 
 
 ! The solution file is: SaveSims\coaltest
 
 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 9
 
 USA         ,-2.14181127E-04,
 EU27        ,-3.91440371E-05,
 EEFSU       , 4.39080817E-04,
 JPN         ,-2.04521493E-04,
 RoA1        , 1.64141660E-04,
 EEx         , 3.19454208E-04,
 CHN         ,-3.27365815E-05,
 IND         ,-5.49103715E-05,
 ROW         , 4.25815097E-06,
 
 
 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 9
 
 USA         ,-2.13214415E-04,
 EU27        ,-1.22542879E-05,
 EEFSU       , 6.83612074E-04,
 JPN         ,-8.03541479E-05,
 RoA1        , 2.69000157E-04,
 EEx         , 6.63665938E-04,
 CHN         ,-1.70446292E-05,
 IND         ,-1.04087529E-04,
 ROW         , 5.46233787E-05,
 
 
 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 8x9
 
 pgd(TRAD_COMM:REG),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 capital     , 1.43376346E-05,-3.55066324E-04, 4.16171551E-03, 4.71847644E-03,-8.42184527E-04, 5.22451126E-04, 5.71536184E-05,-1.29088556E-04,-2.72828765E-04,
 NatRes      ,-6.74197508E-04,-2.59285956E-03, 2.14614184E-03, 3.00510507E-03,-9.69226647E-04,-1.39851088E-03,-1.45079673E-03,-1.80650223E-03,-9.88212181E-04,
 
 ! The matrix qfe(%1:%2:"ROW") with %1 in ENDW_COMM and %2 in PROD_COMM. +++++
 qfe(ENDW_COMM:PROD_COMM:"ROW"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 land        , 5.20417043E-18,-1.42228382E-03, 3.00964946E-03, 5.39885228E-03, 7.05312705E-04, 3.25035071E-04, 1.49913481E-04, 1.14593160E-04, 5.23828319E-04,
 Unsklab     ,-9.60905745E-05,-1.37708681E-02, 5.17806178E-03, 1.10477647E-02, 1.98504468E-03, 6.46466680E-04, 4.52256536E-05,-1.13285976E-04, 1.17651932E-03,
 Sklab       ,-8.87584392E-05,-1.36559876E-02, 5.18968096E-03, 1.10641299E-02, 2.02301797E-03, 6.84440078E-04, 7.83881987E-05,-7.18590090E-05, 1.20665703E-03,
 capital     , 1.12681505E-06,-1.35774510E-02, 5.18941600E-03, 1.09090479E-02,-4.87251004E-04, 2.89235672E-04,-1.77764116E-04,-1.34340793E-04,-4.31689259E-04,
 NatRes      ,-1.61143136E-03,-9.07256454E-03, 1.55564863E-03, 4.40076133E-03,-3.49264150E-03,-4.08493122E-03,-4.08579689E-03,-4.58609406E-03,-3.33174481E-03,
 
 
 ! Variable pfd # price index for domestic purchases of i by j in region s #
 ! Variable pfd(TRAD_COMM:PROD_COMM:REG) of size 8x9x9
 
 ! (This array is shown as 9 matrices - each of size 8x9.)
 
 ! The matrix pfd(%1:%2:"USA") with %1 in TRAD_COMM and %2 in PROD_COMM. +++++
 pfd(TRAD_COMM:PROD_COMM:"USA"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         ,-1.82218311E-04,-1.82218311E-04,-1.82218311E-04,-1.82218311E-04,-1.82218311E-04,-1.82218311E-04,-1.82218311E-04,-1.82218311E-04,-1.82218311E-04,
 Coal        ,-6.03554472E-02,-6.03554472E-02,-6.03554472E-02,-6.03554472E-02,-6.03554472E-02,-6.03554472E-02,-6.03554472E-02,-6.03554472E-02,-6.03554472E-02,
 Oil         ,-6.45421387E-04,-6.45421387E-04,-6.45421387E-04,-6.45421387E-04,-6.45421387E-04,-6.45421387E-04,-6.45421387E-04,-6.45421387E-04,-6.45421387E-04,
 Gas         , 6.29195012E-03, 6.29195012E-03, 6.29195012E-03, 6.29195012E-03, 6.29195012E-03, 6.29195012E-03, 6.29195012E-03, 6.29195012E-03, 6.29195012E-03,
 Oil_pcts    , 1.04807015E-03, 1.04807015E-03, 1.04807015E-03, 1.04807015E-03, 1.04807015E-03, 1.04807015E-03, 1.04807015E-03, 1.04807015E-03, 1.04807015E-03,
 Electricity ,-6.11525401E-03,-6.11525401E-03,-6.11525401E-03,-6.11525401E-03,-6.11525401E-03,-6.11525401E-03,-6.11525401E-03,-6.11525401E-03,-6.11525401E-03,
 En_Int_ind  ,-3.23982269E-04,-3.23982269E-04,-3.23982269E-04,-3.23982269E-04,-3.23982269E-04,-3.23982269E-04,-3.23982269E-04,-3.23982269E-04,-3.23982269E-04,
 Oth_ind_ser ,-2.02478448E-04,-2.02478448E-04,-2.02478448E-04,-2.02478448E-04,-2.02478448E-04,-2.02478448E-04,-2.02478448E-04,-2.02478448E-04,-2.02478448E-04,
 
 ! The matrix pfd(%1:%2:"EU27")
 !  with %1 in TRAD_COMM and %2 in PROD_COMM. ++++++++++++++++++++++++++++++++
 pfd(TRAD_COMM:PROD_COMM:"EU27"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         , 9.83442806E-05, 9.83442806E-05, 9.83442806E-05, 9.83442806E-05, 9.83442806E-05, 9.83442806E-05, 9.83442806E-05, 9.83442806E-05, 9.83442806E-05,
 Coal        ,-4.09637287E-04,-4.09637287E-04,-4.09637287E-04,-4.09637287E-04,-4.09637287E-04,-4.09637287E-04,-4.09637287E-04,-4.09637287E-04,-4.09637287E-04,
 Oil         , 1.60126318E-03, 1.60126318E-03, 1.60126318E-03, 1.60126318E-03, 1.60126318E-03, 1.60126318E-03, 1.60126318E-03, 1.60126318E-03, 1.60126318E-03,
 Gas         , 9.58394725E-04, 9.58394725E-04, 9.58394725E-04, 9.58394725E-04, 9.58394725E-04, 9.58394725E-04, 9.58394725E-04, 9.58394725E-04, 9.58394725E-04,
 Oil_pcts    , 1.60532608E-03, 1.60532608E-03, 1.60532608E-03, 1.60532608E-03, 1.60532608E-03, 1.60532608E-03, 1.60532608E-03, 1.60532608E-03, 1.60532608E-03,
 Electricity ,-8.78947685E-06,-8.78947685E-06,-8.78947685E-06,-8.78947685E-06,-8.78947685E-06,-8.78947685E-06,-8.78947685E-06,-8.78947685E-06,-8.78947685E-06,
 En_Int_ind  , 1.31565306E-04, 1.31565306E-04, 1.31565306E-04, 1.31565306E-04, 1.31565306E-04, 1.31565306E-04, 1.31565306E-04, 1.31565306E-04, 1.31565306E-04,
 Oth_ind_ser , 3.17717081E-06, 3.17717081E-06, 3.17717081E-06, 3.17717081E-06, 3.17717081E-06, 3.17717081E-06, 3.17717081E-06, 3.17717081E-06, 3.17717081E-06,
 
 ! The matrix pfd(%1:%2:"EEFSU")
 !  with %1 in TRAD_COMM and %2 in PROD_COMM. ++++++++++++++++++++++++++++++++
 pfd(TRAD_COMM:PROD_COMM:"EEFSU"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         , 5.13358333E-04, 5.13358333E-04, 5.13358333E-04, 5.13358333E-04, 5.13358333E-04, 5.13358333E-04, 5.13358333E-04, 5.13358333E-04, 5.13358333E-04,
 Coal        , 3.01947817E-04, 3.01947817E-04, 3.01947817E-04, 3.01947817E-04, 3.01947817E-04, 3.01947817E-04, 3.01947817E-04, 3.01947817E-04, 3.01947817E-04,
 Oil         , 1.92503911E-03, 1.92503911E-03, 1.92503911E-03, 1.92503911E-03, 1.92503911E-03, 1.92503911E-03, 1.92503911E-03, 1.92503911E-03, 1.92503911E-03,
 Gas         , 1.32180715E-03, 1.32180715E-03, 1.32180715E-03, 1.32180715E-03, 1.32180715E-03, 1.32180715E-03, 1.32180715E-03, 1.32180715E-03, 1.32180715E-03,
 Oil_pcts    , 1.61104009E-03, 1.61104009E-03, 1.61104009E-03, 1.61104009E-03, 1.61104009E-03, 1.61104009E-03, 1.61104009E-03, 1.61104009E-03, 1.61104009E-03,
 Electricity , 8.60448694E-04, 8.60448694E-04, 8.60448694E-04, 8.60448694E-04, 8.60448694E-04, 8.60448694E-04, 8.60448694E-04, 8.60448694E-04, 8.60448694E-04,
 En_Int_ind  , 7.97668821E-04, 7.97668821E-04, 7.97668821E-04, 7.97668821E-04, 7.97668821E-04, 7.97668821E-04, 7.97668821E-04, 7.97668821E-04, 7.97668821E-04,
 Oth_ind_ser , 6.21858460E-04, 6.21858460E-04, 6.21858460E-04, 6.21858460E-04, 6.21858460E-04, 6.21858460E-04, 6.21858460E-04, 6.21858460E-04, 6.21858460E-04,
 
 ! The matrix pfd(%1:%2:"JPN") with %1 in TRAD_COMM and %2 in PROD_COMM. +++++
 pfd(TRAD_COMM:PROD_COMM:"JPN"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         ,-2.97555271E-05,-2.97555271E-05,-2.97555271E-05,-2.97555271E-05,-2.97555271E-05,-2.97555271E-05,-2.97555271E-05,-2.97555271E-05,-2.97555271E-05,
 Coal        ,-2.79491680E-04,-2.79491680E-04,-2.79491680E-04,-2.79491680E-04,-2.79491680E-04,-2.79491680E-04,-2.79491680E-04,-2.79491680E-04,-2.79491680E-04,
 Oil         , 9.56625270E-04, 9.56625270E-04, 9.56625270E-04, 9.56625270E-04, 9.56625270E-04, 9.56625270E-04, 9.56625270E-04, 9.56625270E-04, 9.56625270E-04,
 Gas         ,-1.91412037E-04,-1.91412037E-04,-1.91412037E-04,-1.91412037E-04,-1.91412037E-04,-1.91412037E-04,-1.91412037E-04,-1.91412037E-04,-1.91412037E-04,
 Oil_pcts    , 1.81364641E-03, 1.81364641E-03, 1.81364641E-03, 1.81364641E-03, 1.81364641E-03, 1.81364641E-03, 1.81364641E-03, 1.81364641E-03, 1.81364641E-03,
 Electricity , 3.54580989E-04, 3.54580989E-04, 3.54580989E-04, 3.54580989E-04, 3.54580989E-04, 3.54580989E-04, 3.54580989E-04, 3.54580989E-04, 3.54580989E-04,
 En_Int_ind  , 1.62612516E-04, 1.62612516E-04, 1.62612516E-04, 1.62612516E-04, 1.62612516E-04, 1.62612516E-04, 1.62612516E-04, 1.62612516E-04, 1.62612516E-04,
 Oth_ind_ser ,-1.72787040E-04,-1.72787040E-04,-1.72787040E-04,-1.72787040E-04,-1.72787040E-04,-1.72787040E-04,-1.72787040E-04,-1.72787040E-04,-1.72787040E-04,
 
 ! The matrix pfd(%1:%2:"RoA1")
 !  with %1 in TRAD_COMM and %2 in PROD_COMM. ++++++++++++++++++++++++++++++++
 pfd(TRAD_COMM:PROD_COMM:"RoA1"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         , 3.43569263E-04, 3.43569263E-04, 3.43569263E-04, 3.43569263E-04, 3.43569263E-04, 3.43569263E-04, 3.43569263E-04, 3.43569263E-04, 3.43569263E-04,
 Coal        ,-2.03380259E-04,-2.03380259E-04,-2.03380259E-04,-2.03380259E-04,-2.03380259E-04,-2.03380259E-04,-2.03380259E-04,-2.03380259E-04,-2.03380259E-04,
 Oil         , 2.56519159E-03, 2.56519159E-03, 2.56519159E-03, 2.56519159E-03, 2.56519159E-03, 2.56519159E-03, 2.56519159E-03, 2.56519159E-03, 2.56519159E-03,
 Gas         , 3.21176089E-03, 3.21176089E-03, 3.21176089E-03, 3.21176089E-03, 3.21176089E-03, 3.21176089E-03, 3.21176089E-03, 3.21176089E-03, 3.21176089E-03,
 Oil_pcts    , 1.97626697E-03, 1.97626697E-03, 1.97626697E-03, 1.97626697E-03, 1.97626697E-03, 1.97626697E-03, 1.97626697E-03, 1.97626697E-03, 1.97626697E-03,
 Electricity , 1.48119856E-04, 1.48119856E-04, 1.48119856E-04, 1.48119856E-04, 1.48119856E-04, 1.48119856E-04, 1.48119856E-04, 1.48119856E-04, 1.48119856E-04,
 En_Int_ind  , 3.73343239E-04, 3.73343239E-04, 3.73343239E-04, 3.73343239E-04, 3.73343239E-04, 3.73343239E-04, 3.73343239E-04, 3.73343239E-04, 3.73343239E-04,
 Oth_ind_ser , 2.64595496E-04, 2.64595496E-04, 2.64595496E-04, 2.64595496E-04, 2.64595496E-04, 2.64595496E-04, 2.64595496E-04, 2.64595496E-04, 2.64595496E-04,
 
 ! The matrix pfd(%1:%2:"EEx") with %1 in TRAD_COMM and %2 in PROD_COMM. +++++
 pfd(TRAD_COMM:PROD_COMM:"EEx"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         , 3.47484631E-04, 3.47484631E-04, 3.47484631E-04, 3.47484631E-04, 3.47484631E-04, 3.47484631E-04, 3.47484631E-04, 3.47484631E-04, 3.47484631E-04,
 Coal        ,-3.09241889E-03,-3.09241889E-03,-3.09241889E-03,-3.09241889E-03,-3.09241889E-03,-3.09241889E-03,-3.09241889E-03,-3.09241889E-03,-3.09241889E-03,
 Oil         , 2.38136761E-03, 2.38136761E-03, 2.38136761E-03, 2.38136761E-03, 2.38136761E-03, 2.38136761E-03, 2.38136761E-03, 2.38136761E-03, 2.38136761E-03,
 Gas         , 1.65488676E-03, 1.65488676E-03, 1.65488676E-03, 1.65488676E-03, 1.65488676E-03, 1.65488676E-03, 1.65488676E-03, 1.65488676E-03, 1.65488676E-03,
 Oil_pcts    , 1.98743329E-03, 1.98743329E-03, 1.98743329E-03, 1.98743329E-03, 1.98743329E-03, 1.98743329E-03, 1.98743329E-03, 1.98743329E-03, 1.98743329E-03,
 Electricity , 1.15405361E-03, 1.15405361E-03, 1.15405361E-03, 1.15405361E-03, 1.15405361E-03, 1.15405361E-03, 1.15405361E-03, 1.15405361E-03, 1.15405361E-03,
 En_Int_ind  , 6.02964486E-04, 6.02964486E-04, 6.02964486E-04, 6.02964486E-04, 6.02964486E-04, 6.02964486E-04, 6.02964486E-04, 6.02964486E-04, 6.02964486E-04,
 Oth_ind_ser , 4.46198654E-04, 4.46198654E-04, 4.46198654E-04, 4.46198654E-04, 4.46198654E-04, 4.46198654E-04, 4.46198654E-04, 4.46198654E-04, 4.46198654E-04,
 
 ! The matrix pfd(%1:%2:"CHN") with %1 in TRAD_COMM and %2 in PROD_COMM. +++++
 pfd(TRAD_COMM:PROD_COMM:"CHN"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         ,-1.24761686E-06,-1.24761686E-06,-1.24761686E-06,-1.24761686E-06,-1.24761686E-06,-1.24761686E-06,-1.24761686E-06,-1.24761686E-06,-1.24761686E-06,
 Coal        , 7.44334393E-05, 7.44334393E-05, 7.44334393E-05, 7.44334393E-05, 7.44334393E-05, 7.44334393E-05, 7.44334393E-05, 7.44334393E-05, 7.44334393E-05,
 Oil         , 9.97685012E-04, 9.97685012E-04, 9.97685012E-04, 9.97685012E-04, 9.97685012E-04, 9.97685012E-04, 9.97685012E-04, 9.97685012E-04, 9.97685012E-04,
 Gas         , 9.66677733E-04, 9.66677733E-04, 9.66677733E-04, 9.66677733E-04, 9.66677733E-04, 9.66677733E-04, 9.66677733E-04, 9.66677733E-04, 9.66677733E-04,
 Oil_pcts    , 1.20068283E-03, 1.20068283E-03, 1.20068283E-03, 1.20068283E-03, 1.20068283E-03, 1.20068283E-03, 1.20068283E-03, 1.20068283E-03, 1.20068283E-03,
 Electricity , 1.74290672E-05, 1.74290672E-05, 1.74290672E-05, 1.74290672E-05, 1.74290672E-05, 1.74290672E-05, 1.74290672E-05, 1.74290672E-05, 1.74290672E-05,
 En_Int_ind  , 9.87018575E-05, 9.87018575E-05, 9.87018575E-05, 9.87018575E-05, 9.87018575E-05, 9.87018575E-05, 9.87018575E-05, 9.87018575E-05, 9.87018575E-05,
 Oth_ind_ser , 1.32506457E-05, 1.32506457E-05, 1.32506457E-05, 1.32506457E-05, 1.32506457E-05, 1.32506457E-05, 1.32506457E-05, 1.32506457E-05, 1.32506457E-05,
 
 ! The matrix pfd(%1:%2:"IND") with %1 in TRAD_COMM and %2 in PROD_COMM. +++++
 pfd(TRAD_COMM:PROD_COMM:"IND"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         ,-1.40198943E-04,-1.40198943E-04,-1.40198943E-04,-1.40198943E-04,-1.40198943E-04,-1.40198943E-04,-1.40198943E-04,-1.40198943E-04,-1.40198943E-04,
 Coal        ,-6.43203384E-06,-6.43203384E-06,-6.43203384E-06,-6.43203384E-06,-6.43203384E-06,-6.43203384E-06,-6.43203384E-06,-6.43203384E-06,-6.43203384E-06,
 Oil         , 1.21984747E-03, 1.21984747E-03, 1.21984747E-03, 1.21984747E-03, 1.21984747E-03, 1.21984747E-03, 1.21984747E-03, 1.21984747E-03, 1.21984747E-03,
 Gas         , 2.98614526E-04, 2.98614526E-04, 2.98614526E-04, 2.98614526E-04, 2.98614526E-04, 2.98614526E-04, 2.98614526E-04, 2.98614526E-04, 2.98614526E-04,
 Oil_pcts    , 1.76849274E-03, 1.76849274E-03, 1.76849274E-03, 1.76849274E-03, 1.76849274E-03, 1.76849274E-03, 1.76849274E-03, 1.76849274E-03, 1.76849274E-03,
 Electricity , 6.06276371E-05, 6.06276371E-05, 6.06276371E-05, 6.06276371E-05, 6.06276371E-05, 6.06276371E-05, 6.06276371E-05, 6.06276371E-05, 6.06276371E-05,
 En_Int_ind  , 2.19848895E-04, 2.19848895E-04, 2.19848895E-04, 2.19848895E-04, 2.19848895E-04, 2.19848895E-04, 2.19848895E-04, 2.19848895E-04, 2.19848895E-04,
 Oth_ind_ser ,-2.94230740E-05,-2.94230740E-05,-2.94230740E-05,-2.94230740E-05,-2.94230740E-05,-2.94230740E-05,-2.94230740E-05,-2.94230740E-05,-2.94230740E-05,
 
 ! The matrix pfd(%1:%2:"ROW") with %1 in TRAD_COMM and %2 in PROD_COMM. +++++
 pfd(TRAD_COMM:PROD_COMM:"ROW"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         , 1.43271041E-04, 1.43271041E-04, 1.43271041E-04, 1.43271041E-04, 1.43271041E-04, 1.43271041E-04, 1.43271041E-04, 1.43271041E-04, 1.43271041E-04,
 Coal        ,-2.62859539E-04,-2.62859539E-04,-2.62859539E-04,-2.62859539E-04,-2.62859539E-04,-2.62859539E-04,-2.62859539E-04,-2.62859539E-04,-2.62859539E-04,
 Oil         , 2.16521346E-03, 2.16521346E-03, 2.16521346E-03, 2.16521346E-03, 2.16521346E-03, 2.16521346E-03, 2.16521346E-03, 2.16521346E-03, 2.16521346E-03,
 Gas         , 1.52503920E-03, 1.52503920E-03, 1.52503920E-03, 1.52503920E-03, 1.52503920E-03, 1.52503920E-03, 1.52503920E-03, 1.52503920E-03, 1.52503920E-03,
 Oil_pcts    , 1.84668927E-03, 1.84668927E-03, 1.84668927E-03, 1.84668927E-03, 1.84668927E-03, 1.84668927E-03, 1.84668927E-03, 1.84668927E-03, 1.84668927E-03,
 Electricity , 4.28246858E-04, 4.28246858E-04, 4.28246858E-04, 4.28246858E-04, 4.28246858E-04, 4.28246858E-04, 4.28246858E-04, 4.28246858E-04, 4.28246858E-04,
 En_Int_ind  , 2.66305782E-04, 2.66305782E-04, 2.66305782E-04, 2.66305782E-04, 2.66305782E-04, 2.66305782E-04, 2.66305782E-04, 2.66305782E-04, 2.66305782E-04,
 Oth_ind_ser , 5.70401171E-05, 5.70401171E-05, 5.70401171E-05, 5.70401171E-05, 5.70401171E-05, 5.70401171E-05, 5.70401171E-05, 5.70401171E-05, 5.70401171E-05,
 
 
 ! Variable qfd # domestic good i demanded by industry j in region s #
 ! Variable qfd(TRAD_COMM:PROD_COMM:REG) of size 8x9x9
 
 ! (This array is shown as 9 matrices - each of size 8x9.)
 
 ! The matrix qfd(%1:%2:"USA") with %1 in TRAD_COMM and %2 in PROD_COMM. +++++
 qfd(TRAD_COMM:PROD_COMM:"USA"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         , 4.09953442E-04,-0.82716459    , 3.52036282E-02, 0.19252120    , 2.53742263E-02, 2.79691513E-03, 5.51369740E-04, 2.11820065E-04, 1.42129825E-03,
 Coal        , 3.15414369E-02, -1.2491789    , 3.79644707E-02, 0.19787773    , 0.14664662    ,-0.98517090    , 3.05810738E-02, 3.15510519E-02, 1.31819188E-03,
 Oil         , 4.55908850E-03, -1.2507644    , 3.82098556E-02, 0.19554797    , 3.50020118E-02, 0.61623049    , 6.44449238E-03, 1.49390684E-03, 1.32035033E-03,
 Gas         ,-5.38510690E-03, -1.2545797    , 1.80926844E-02, 0.18801624    ,-6.72770943E-03, 0.60527706    ,-2.00227015E-02,-8.52868613E-03,-6.29607894E-05,
 Oil_pcts    , 6.86630083E-05, -1.2516768    , 3.47071812E-02, 0.19462036    , 2.53626909E-02, 0.61295801    ,-1.25580467E-03,-1.89521385E-03, 1.97013235E-03,
 Electricity , 7.22365780E-03, -1.2516822    , 3.47107910E-02, 0.19451281    , 2.52260529E-02,-2.83187767E-03, 5.36657544E-03, 5.15120197E-03, 1.33030303E-03,
 En_Int_ind  , 7.93154293E-04,-0.82685190    , 3.56395692E-02, 0.19279094    , 2.56053954E-02, 3.20316991E-03, 6.87589927E-04, 4.52715030E-04, 1.53307337E-03,
 Oth_ind_ser , 3.97997675E-04,-0.82706892    , 3.51987369E-02, 0.19250813    , 2.51432937E-02, 2.66051060E-03, 2.76251114E-04, 1.91078638E-04, 1.39678281E-03,
 
 ! The matrix qfd(%1:%2:"EU27")
 !  with %1 in TRAD_COMM and %2 in PROD_COMM. ++++++++++++++++++++++++++++++++
 qfd(TRAD_COMM:PROD_COMM:"EU27"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         ,-2.51430683E-05,-9.57161933E-03, 3.79041000E-03, 9.42162052E-03,-4.46987309E-04, 3.40459927E-04, 4.57895803E-05,-7.35628346E-05,-4.19858203E-04,
 Coal        ,-2.67210137E-03,-1.46402791E-02,-1.43021010E-02, 7.73707777E-03,-1.40710650E-02,-7.36571290E-03,-9.46946908E-03,-8.28764681E-03,-4.33889829E-04,
 Oil         , 9.77132353E-04,-9.13092121E-03, 5.85892610E-03, 1.18192788E-02, 1.75149064E-03, 1.37470290E-03, 4.78663977E-04, 7.10768683E-04, 1.02900551E-03,
 Gas         , 4.38146107E-03,-5.25713712E-03, 1.01432111E-02, 1.53050106E-02, 3.82349570E-03, 6.38458785E-03, 5.78073272E-03, 5.78763755E-03, 4.08931123E-03,
 Oil_pcts    ,-9.87519394E-04,-1.16790626E-02, 4.56447992E-03, 9.90029238E-03,-5.19498484E-04,-5.26984571E-04,-1.11215259E-03,-1.18613231E-03,-4.65908437E-04,
 Electricity , 6.36498502E-04,-1.16558271E-02, 4.57183784E-03, 9.93307680E-03,-5.00676222E-04, 3.97065858E-04, 4.92873078E-04, 4.41175478E-04,-4.30660468E-04,
 En_Int_ind  , 1.13689293E-05,-9.53684468E-03, 3.82253085E-03, 9.43966489E-03,-4.05895262E-04, 3.71395203E-04, 8.21642898E-05,-3.94246890E-05,-4.02571372E-04,
 Oth_ind_ser ,-2.80836830E-05,-9.57343914E-03, 3.78158619E-03, 9.40507837E-03,-4.57364746E-04, 3.38777929E-04, 4.00447279E-05,-7.51712432E-05,-4.22597514E-04,
 
 ! The matrix qfd(%1:%2:"EEFSU")
 !  with %1 in TRAD_COMM and %2 in PROD_COMM. ++++++++++++++++++++++++++++++++
 qfd(TRAD_COMM:PROD_COMM:"EEFSU"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         ,-2.29773621E-04,-9.85713769E-03, 1.64379377E-03, 3.47751868E-03, 1.00476689E-06,-5.54452476E-04,-2.21549510E-03,-2.79237691E-04, 7.50367180E-05,
 Coal        ,-6.17134268E-04,-1.36012034E-02, 1.22068939E-03, 3.32885492E-03,-1.30474556E-03,-1.74646813E-03,-3.51904053E-03,-1.46558194E-03, 1.02629230E-04,
 Oil         ,-1.11500185E-03,-1.25845456E-02, 2.36059004E-03, 4.23095748E-03,-2.06150962E-05,-1.38352066E-03,-3.12625477E-03,-1.31899468E-03, 4.72991815E-05,
 Gas         ,-7.11013388E-04,-1.28200660E-02, 2.26032618E-03, 4.11079824E-03,-9.51796101E-05,-9.01467225E-04,-2.70093535E-03,-7.80296745E-04,-3.99767567E-04,
 Oil_pcts    ,-8.04609037E-04,-1.25877969E-02, 2.35816813E-03, 4.22111712E-03,-2.15077198E-05,-1.07370631E-03,-2.79761781E-03,-9.99180484E-04, 7.56345253E-05,
 Electricity ,-8.97674399E-05,-1.25823086E-02, 2.36210320E-03, 4.22170572E-03,-1.74369488E-05,-4.29784326E-04,-2.05986202E-03,-2.64996663E-04, 9.89550972E-05,
 En_Int_ind  ,-1.00136944E-03,-1.03597445E-02, 1.14044442E-03, 2.95693311E-03,-1.09439983E-03,-1.07860973E-03,-2.59770942E-03,-7.09054526E-04,-3.44177359E-04,
 Oth_ind_ser ,-4.49663261E-04,-1.00396052E-02, 1.54026703E-03, 3.48457694E-03,-2.07125660E-04,-6.44580869E-04,-2.33445899E-03,-4.38938732E-04,-2.20419985E-04,
 
 ! The matrix qfd(%1:%2:"JPN") with %1 in TRAD_COMM and %2 in PROD_COMM. +++++
 qfd(TRAD_COMM:PROD_COMM:"JPN"),Agr            ,Coal           ,Oil            ,Gas            ,Oil_pcts       ,Electricity    ,En_Int_ind     ,Oth_ind_ser    ,CGDS           ,
 Agr         ,-6.22319203E-06,-1.61230075E-03, 5.44410478E-03, 1.69146843E-02,-8.45990551E-04, 5.55090483E-05, 8.73528479E-05,-2.64099181E-05,-7.23672565E-04,
 Coal        ,-8.49826727E-04,-3.10339383E-03, 5.73404413E-03, 1.56804249E-02,-2.41009099E-03,-8.70338874E-04,-1.26589672E-03,-1.44089817E-03,-7.74378248E-04,
 Oil         , 2.70921993E-03,-3.68067384E-04, 8.98090564E-03, 2.12257020E-02, 5.68616344E-03, 5.56506636E-03,-3.50903720E-04, 2.39333115E-03, 1.40224176E-03,
 Gas         , 2.12360080E-02, 2.04054099E-02, 2.82549169E-02, 3.91153172E-02, 2.10746285E-02, 2.14136392E-02, 2.06868462E-02, 1.78679936E-02, 2.14267168E-02,
 Oil_pcts    ,-8.99866573E-04,-1.79692893E-03, 6.22002780E-03, 1.68263875E-02,-1.08254375E-03,-7.78846384E-04,-1.26370846E-03,-1.43336388E-03,-8.62517627E-04,
 Electricity , 5.66517585E-04,-1.78956578E-03, 6.22803718E-03, 1.69077981E-02,-1.07823790E-03, 5.18736138E-04, 2.13486681E-04, 3.05097874E-05,-7.74227316E-04,
 En_Int_ind  ,-1.56801543E-05,-1.60562224E-03, 5.47211803E-03, 1.69078335E-02,-1.04319013E-03, 3.41899431E-05,-3.70150483E-05,-5.87558206E-05,-7.70574727E-04,
 Oth_ind_ser ,-2.17622401E-05,-1.60027482E-03, 5.45843318E-03, 1.69193372E-02,-1.03840081E-03,-2.52218251E-06,-5.00064853E-05,-3.29957511E-05,-7.41570839E-04,
 
 ! The matrix qfd(%1:%2:"RoA1")
