 
 
 ! The solution file is: GTAP_Files\SaveSims\coal11
 
 ! Variable qxw # aggregate exports of i from region r, FOB weights #
 ! Variable qxw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qxw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qxw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 7.60325268E-02,-3.49653279E-03,-5.46804816E-02,-6.20396435E-03,-2.66167298E-02,-3.49321328E-02, 1.45197555E-03, 6.61239866E-03,-9.93775949E-03,
 Coal        ,  3.3991120    ,-0.57567829    ,-0.48543859    ,-0.46963337    ,-0.22801811    ,-0.33960217    ,-0.27396381    ,-0.29426077    ,-0.19831263    ,
 Oil         , 0.14518967    , 0.12616789    , 4.79113050E-02, 0.24727871    , 0.12316843    , 6.08358830E-02, 0.25492847    , 0.17790420    , 9.45799947E-02,
 Gas         , -3.4688067    , 0.45874414    , 0.16181912    ,  1.3149961    , 0.27135968    , 0.12983947    , 0.71939951    ,  1.1070215    , 0.52325499    ,
 Oil_pcts    ,-1.82780754E-02, 3.69664319E-02, 6.93298355E-02, 1.39463376E-02, 0.25134534    , 3.98700051E-02, 3.57694551E-02, 2.84257028E-02, 2.99696103E-02,
 Electricity , -2.2362866    , 5.24506196E-02,-4.42996472E-02, 8.71388763E-02, 0.32657528    ,-6.10600878E-03, 0.11430715    , 0.14561279    , 4.71918248E-02,
 En_Int_ind  , 0.10237271    ,-3.79663985E-03,-9.73924771E-02,-1.22113973E-02,-2.67825127E-02,-6.09333254E-02, 4.70892619E-03,-1.07273348E-02,-1.16210654E-02,
 Oth_ind_ser , 0.19584304    ,-1.23563791E-02,-0.10047211    ,-2.08600108E-02,-5.90890646E-02,-9.70880464E-02,-2.37533078E-02,-1.98539179E-02,-2.26271227E-02,
 
 ! The matrix qxw(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qxw(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  87091.227    ,  124972.93    ,  21382.248    ,  1330.5092    ,  53201.828    ,  60671.762    ,  17428.311    ,  13490.270    ,  123812.27    ,
 Coal        ,  12636.391    ,  1858.5601    ,  16256.427    , 3.88369448E-02,  46362.926    ,  39279.836    ,  1961.2751    ,  100.33749    ,  10791.910    ,
 Oil         ,  669.97400    ,  17140.113    ,  286072.12    , 0.78248370    ,  108742.73    ,  882217.25    ,  861.11096    ,  5.9594269    ,  209932.97    ,
 Gas         ,  6380.5854    ,  15238.601    ,  95303.633    , 0.39578912    ,  48392.305    ,  110117.78    ,  734.03168    ,  4.2359285    ,  18955.734    ,
 Oil_pcts    ,  127042.12    ,  184694.45    ,  105590.41    ,  14676.966    ,  28988.477    ,  173189.33    ,  38119.246    ,  52961.184    ,  146450.41    ,
 Electricity ,  1020.6068    ,  34678.309    ,  5369.7793    , 0.61472803    ,  7115.7002    ,  1173.2362    ,  917.24237    ,  16.635111    ,  5496.7056    ,
 En_Int_ind  ,  371146.22    ,  1497246.9    ,  155668.11    ,  194258.17    ,  407752.53    ,  299060.06    ,  279713.50    ,  69342.172    ,  728399.62    ,
 Oth_ind_ser ,  1279983.9    ,  4930310.5    ,  209105.03    ,  719556.56    ,  652622.06    ,  854377.62    ,  1613380.5    ,  264589.56    ,  2250805.0    ,
 
 ! The matrix qxw(%1:%2:"PostLevel") with %1 in TRAD_COMM and %2 in REG. +++++
 qxw(TRAD_COMM:REG:"PostLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  87157.445    ,  124968.56    ,  21370.557    ,  1330.4266    ,  53187.668    ,  60650.566    ,  17428.564    ,  13491.161    ,  123799.97    ,
 Coal        ,  13065.916    ,  1847.8607    ,  16177.512    , 3.86545546E-02,  46257.211    ,  39146.441    ,  1955.9020    ,  100.04224    ,  10770.509    ,
 Oil         ,  670.94672    ,  17161.738    ,  286209.19    , 0.78441858    ,  108876.66    ,  882753.94    ,  863.30615    ,  5.9700289    ,  210131.52    ,
 Gas         ,  6159.2554    ,  15308.507    ,  95457.852    , 0.40099373    ,  48523.621    ,  110260.76    ,  739.31232    ,  4.2828212    ,  19054.922    ,
 Oil_pcts    ,  127018.91    ,  184762.73    ,  105663.61    ,  14679.013    ,  29061.338    ,  173258.38    ,  38132.883    ,  52976.238    ,  146494.30    ,
 Electricity ,  997.78308    ,  34696.496    ,  5367.4004    , 0.61526370    ,  7138.9385    ,  1173.1646    ,  918.29083    ,  16.659334    ,  5499.2998    ,
 En_Int_ind  ,  371526.16    ,  1497190.0    ,  155516.50    ,  194234.45    ,  407643.31    ,  298877.84    ,  279726.66    ,  69334.734    ,  728315.00    ,
 Oth_ind_ser ,  1282490.6    ,  4929701.5    ,  208894.94    ,  719406.44    ,  652236.44    ,  853548.12    ,  1612997.2    ,  264537.03    ,  2250295.8    ,
 
 ! The matrix qxw(%1:%2:"Changes") with %1 in TRAD_COMM and %2 in REG. +++++++
 qxw(TRAD_COMM:REG:"Changes"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  66.218750    , -4.3671875    , -11.691406    ,-8.25195312E-02, -14.160156    , -21.195312    , 0.25390625    , 0.89160156    , -12.304688    ,
 Coal        ,  429.52539    , -10.699341    , -78.915039    ,-1.82390213E-04, -105.71484    , -133.39453    , -5.3731689    ,-0.29525757    , -21.401367    ,
 Oil         , 0.97271729    ,  21.625000    ,  137.06250    , 1.93488598E-03,  133.93750    ,  536.68750    ,  2.1951904    , 1.06019974E-02,  198.54688    ,
 Gas         , -221.33008    ,  69.906250    ,  154.21875    , 5.20461798E-03,  131.31641    ,  142.97656    ,  5.2806396    , 4.68926430E-02,  99.187500    ,
 Oil_pcts    , -23.218750    ,  68.281250    ,  73.203125    ,  2.0468750    ,  72.861328    ,  69.046875    ,  13.636719    ,  15.054688    ,  43.890625    ,
 Electricity , -22.823669    ,  18.187500    , -2.3789062    , 5.35666943E-04,  23.238281    ,-7.16552734E-02,  1.0484619    , 2.42233276E-02,  2.5942383    ,
 En_Int_ind  ,  379.93750    , -56.875000    , -151.60938    , -23.718750    , -109.21875    , -182.21875    ,  13.156250    , -7.4375000    , -84.625000    ,
 Oth_ind_ser ,  2506.7500    , -609.00000    , -210.09375    , -150.12500    , -385.62500    , -829.50000    , -383.25000    , -52.531250    , -509.25000    ,
 
 
 ! Variable qiw # aggregate imports of i into region s, CIF weights #
 ! Variable qiw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qiw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qiw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,-4.97282669E-02,-6.53909083E-05, 2.34226566E-02, 8.58251844E-03, 1.42534738E-02, 1.49972346E-02, 2.88345478E-03,-1.02586243E-02, 2.10572733E-03,
 Coal        , -5.0270514    , 0.19935992    , 0.48434752    ,-1.57747755E-03, 0.99932235    , 0.10031665    , 4.29443754E-02, 1.89901367E-02, 5.81123270E-02,
 Oil         , 0.40633532    ,-1.21701388E-02,-2.82877241E-03,-2.24232636E-02, 5.43079227E-02, 1.19224880E-02,-5.66280037E-02,-2.48492379E-02,-1.46705015E-02,
 Gas         ,  3.1575568    ,-4.36564572E-02,-1.10873831E-02,-2.24565677E-02,-0.44506970    ,-0.16214645    ,-2.29816176E-02,-0.19043189    ,-3.64806019E-02,
 Oil_pcts    , 0.54618555    ,-1.87388528E-02,-8.27407930E-03,-2.26222873E-02,-1.09814378E-02,-1.30097521E-02,-3.03103235E-02,-1.43928993E-02,-1.63772069E-02,
 Electricity , 0.73895729    ,-6.92113163E-03, 2.33096387E-02,-0.17889385    ,-0.10532955    , 6.24924840E-04,-7.07059950E-02,-0.16744238    ,-1.94016062E-02,
 En_Int_ind  ,-5.70635758E-02,-2.11095181E-03, 1.85830742E-02, 1.01351272E-03,-1.96729111E-03, 1.36720203E-02,-7.45429797E-03,-2.49366858E-03,-1.58685783E-03,
 Oth_ind_ser ,-0.12142243    , 4.97306930E-03, 5.02650216E-02, 1.16972011E-02, 3.10788285E-02, 3.63783129E-02, 2.87799072E-03, 4.97637782E-03, 9.75819770E-03,
 
 ! The matrix qiw(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qiw(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Coal        , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
