 
 
 ! The solution file is: GTAP_Files\SaveSims\coal00
 
 ! Variable qxw # aggregate exports of i from region r, FOB weights #
 ! Variable qxw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qxw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qxw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Coal        ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Oil         ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Gas         ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Oil_pcts    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Electricity ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 En_Int_ind  ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Oth_ind_ser ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 
 ! The matrix qxw(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qxw(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  52046.457    ,  93608.688    ,  17773.219    ,  732.29242    ,  29230.525    ,  39026.113    ,  11444.648    ,  6304.7163    ,  69499.453    ,
 Coal        ,  3715.0762    ,  1302.2867    ,  6877.8394    , 2.82863379E-02,  18547.742    ,  15770.172    ,  2692.9832    ,  51.121925    ,  3993.1155    ,
 Oil         ,  269.41962    ,  20105.775    ,  178677.69    , 0.12351999    ,  77222.398    ,  593518.94    ,  1073.7610    , 0.49220672    ,  126890.84    ,
 Gas         ,  4424.9458    ,  10559.747    ,  54147.090    , 0.15801896    ,  48166.402    ,  69343.305    ,  511.07751    ,  1.0760458    ,  9270.3594    ,
 Oil_pcts    ,  55420.109    ,  128851.77    ,  64363.410    ,  11054.882    ,  21192.051    ,  109112.38    ,  21665.297    ,  22792.727    ,  91626.625    ,
 Electricity ,  1270.6193    ,  27809.904    ,  4718.5190    , 0.54918408    ,  5409.4595    ,  787.43011    ,  928.84021    ,  31.801191    ,  4966.4526    ,
 En_Int_ind  ,  249716.52    ,  1254727.2    ,  127105.84    ,  148065.02    ,  260349.39    ,  174837.11    ,  168934.84    ,  49380.832    ,  471855.28    ,
 Oth_ind_ser ,  1027433.1    ,  4355727.0    ,  172756.31    ,  632243.75    ,  565014.94    ,  646160.06    ,  1052295.4    ,  153198.05    ,  1672635.6    ,
 
 ! The matrix qxw(%1:%2:"PostLevel") with %1 in TRAD_COMM and %2 in REG. +++++
 qxw(TRAD_COMM:REG:"PostLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  52046.457    ,  93608.688    ,  17773.219    ,  732.29242    ,  29230.525    ,  39026.113    ,  11444.648    ,  6304.7163    ,  69499.453    ,
 Coal        ,  3715.0762    ,  1302.2867    ,  6877.8394    , 2.82863379E-02,  18547.742    ,  15770.172    ,  2692.9832    ,  51.121925    ,  3993.1155    ,
 Oil         ,  269.41962    ,  20105.775    ,  178677.69    , 0.12351999    ,  77222.398    ,  593518.94    ,  1073.7610    , 0.49220672    ,  126890.84    ,
 Gas         ,  4424.9458    ,  10559.747    ,  54147.090    , 0.15801896    ,  48166.402    ,  69343.305    ,  511.07751    ,  1.0760458    ,  9270.3594    ,
 Oil_pcts    ,  55420.109    ,  128851.77    ,  64363.410    ,  11054.882    ,  21192.051    ,  109112.38    ,  21665.297    ,  22792.727    ,  91626.625    ,
 Electricity ,  1270.6193    ,  27809.904    ,  4718.5190    , 0.54918408    ,  5409.4595    ,  787.43011    ,  928.84021    ,  31.801191    ,  4966.4526    ,
 En_Int_ind  ,  249716.52    ,  1254727.2    ,  127105.84    ,  148065.02    ,  260349.39    ,  174837.11    ,  168934.84    ,  49380.832    ,  471855.28    ,
 Oth_ind_ser ,  1027433.1    ,  4355727.0    ,  172756.31    ,  632243.75    ,  565014.94    ,  646160.06    ,  1052295.4    ,  153198.05    ,  1672635.6    ,
 
 ! The matrix qxw(%1:%2:"Changes") with %1 in TRAD_COMM and %2 in REG. +++++++
 qxw(TRAD_COMM:REG:"Changes"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Coal        ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Oil         ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Gas         ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Oil_pcts    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Electricity ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 En_Int_ind  ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Oth_ind_ser ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 
 
 ! Variable qiw # aggregate imports of i into region s, CIF weights #
 ! Variable qiw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qiw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qiw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Coal        ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Oil         ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Gas         ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Oil_pcts    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Electricity ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 En_Int_ind  ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
