 
 
 ! The solution file is: GTAP_Files\SaveSims\coal30
 
 ! Variable qxw # aggregate exports of i from region r, FOB weights #
 ! Variable qxw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qxw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qxw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 0.88722086    ,-6.47872314E-02,-0.42199808    ,-0.23029132    ,-0.21835378    ,-0.29184115    ,-0.11146219    ,-7.61439502E-02,-0.12468077    ,
 Coal        ,  14.419353    , -2.3232548    , -2.0901520    , -1.8308468    ,-0.93458694    , -1.3509220    , -1.0606923    , -1.1410944    ,-0.77186316    ,
 Oil         , 0.23543891    , 0.65487754    , 0.21751912    ,  1.2461684    , 0.64273179    , 0.31910399    ,  1.3279096    , 0.93742508    , 0.50334859    ,
 Gas         , -11.131235    ,  2.0892253    , 0.42152327    ,  5.0448351    ,  1.1949946    , 0.55984944    ,  3.0334094    ,  5.1497798    ,  2.3963420    ,
 Oil_pcts    ,-0.24881028    , 0.20494659    , 0.34683913    , 8.21324587E-02,  1.3321487    , 0.23448069    , 0.20785902    , 0.17511493    , 0.17660727    ,
 Electricity , -31.871725    , 0.57811165    , 0.10856108    ,  1.4363549    ,  6.0464354    ,  1.1963497    ,  1.4635257    ,  2.2527585    , 0.78326064    ,
 En_Int_ind  , 0.97110635    ,-8.28134716E-02,-0.64350152    ,-0.24191962    ,-0.18252093    ,-0.35515168    ,-4.41597775E-02,-0.10902375    ,-9.47540924E-02,
 Oth_ind_ser ,  2.3969893    ,-0.18558611    ,-0.72030723    ,-0.46621701    ,-0.56073076    ,-0.75425363    ,-0.35396162    ,-0.30192336    ,-0.24577063    ,
 
 ! The matrix qxw(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qxw(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  87091.227    ,  124972.93    ,  21382.248    ,  1330.5092    ,  53201.828    ,  60671.762    ,  17428.311    ,  13490.270    ,  123812.27    ,
 Coal        ,  12636.391    ,  1858.5601    ,  16256.427    , 3.88369448E-02,  46362.926    ,  39279.836    ,  1961.2751    ,  100.33749    ,  10791.910    ,
 Oil         ,  669.97400    ,  17140.113    ,  286072.12    , 0.78248370    ,  108742.73    ,  882217.25    ,  861.11096    ,  5.9594269    ,  209932.97    ,
 Gas         ,  6380.5854    ,  15238.601    ,  95303.633    , 0.39578912    ,  48392.305    ,  110117.78    ,  734.03168    ,  4.2359285    ,  18955.734    ,
 Oil_pcts    ,  127042.12    ,  184694.45    ,  105590.41    ,  14676.966    ,  28988.477    ,  173189.33    ,  38119.246    ,  52961.184    ,  146450.41    ,
 Electricity ,  1020.6068    ,  34678.309    ,  5369.7793    , 0.61472803    ,  7115.7002    ,  1173.2362    ,  917.24237    ,  16.635111    ,  5496.7056    ,
 En_Int_ind  ,  371146.22    ,  1497246.9    ,  155668.11    ,  194258.17    ,  407752.53    ,  299060.06    ,  279713.50    ,  69342.172    ,  728399.62    ,
