 
 
 ! The solution file is: GTAP_Files\SaveSims\coal50
 
 ! Variable qxw # aggregate exports of i from region r, FOB weights #
 ! Variable qxw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qxw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qxw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Electricity ,  20.799316    ,  5.5019531    , -8.4912109    ,-6.37769699E-04, -18.455566    , -2.5646362    , 0.50750732    ,-2.40650177E-02, -3.1191406    ,
 En_Int_ind  ,  362.57812    ,  52.750000    , -221.78906    , -1.8437500    , -206.59375    , -223.95312    ,  28.031250    , -7.4687500    , -142.03125    ,
 Oth_ind_ser ,  772.06250    ,  87.500000    , -263.64062    ,  300.68750    , -537.81250    , -961.87500    , -125.50000    ,  7.8593750    , -284.87500    ,
 
 
 ! Variable qiw # aggregate imports of i into region s, CIF weights #
 ! Variable qiw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qiw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qiw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,-3.77767086E-02,-5.20687783E-03, 3.14629823E-02,-1.28298653E-02, 2.37136967E-02, 1.94315035E-02,-2.09445283E-02,-4.41214256E-02,-4.52765776E-03,
 Coal        , -31.778271    , 0.65506774    , 0.49901399    ,-9.92999785E-03,  5.5858521    , 0.45434171    , 0.32653591    , 0.17531610    , 0.21955967    ,
 Oil         , 0.99555558    ,-4.11852971E-02, 5.18778618E-03,-5.55431023E-02, 0.15457150    , 3.65458056E-02,-0.16229504    ,-9.02564675E-02,-2.73176655E-02,
 Gas         ,  4.8402591    ,-0.17193991    ,-1.38242822E-02,-9.71939862E-02,-0.35263857    ,-0.48313338    ,-0.60438573    ,-0.42557272    ,-4.30370942E-02,
 Oil_pcts    ,  1.2676373    ,-5.04793413E-02,-3.92677598E-02,-5.32484353E-02,-1.35307647E-02,-1.59036629E-02,-8.49141330E-02,-5.44677526E-02,-3.33656855E-02,
 Electricity ,-0.74861234    , 7.24194245E-03, 6.61004409E-02, 0.15232973    , 0.19593276    , 0.11433128    , 5.73189929E-03, 0.11502469    , 4.36027162E-02,
 En_Int_ind  ,-9.91226360E-02,-5.53237880E-03, 2.02806983E-02,-8.74837115E-03,-2.53969198E-03, 1.97612755E-02,-2.45638285E-02,-9.90938209E-03,-2.40883580E-03,
 Oth_ind_ser ,-9.12820399E-02,-8.40095151E-03, 5.73216490E-02,-3.25517803E-02, 3.03653590E-02, 4.72826809E-02,-6.00645691E-03,-1.31452000E-02,-3.35402670E-03,
 
 ! The matrix qiw(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qiw(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Coal        , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oil         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Gas         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oil_pcts    , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Electricity , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 En_Int_ind  , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oth_ind_ser , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 
 ! The matrix qiw(%1:%2:"PostLevel") with %1 in TRAD_COMM and %2 in REG. +++++
 qiw(TRAD_COMM:REG:"PostLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Coal        , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oil         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Gas         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
