 
 
 ! The solution file is: GTAP_Files\SaveSims\coal10
 
 ! Variable qxw # aggregate exports of i from region r, FOB weights #
 ! Variable qxw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qxw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qxw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 6.30889982E-02,-2.69013597E-03,-4.72332947E-02,-3.78429121E-03,-2.28822809E-02,-2.99790930E-02, 2.31641787E-03, 6.81551220E-03,-8.16424284E-03,
 Coal        ,  3.0357239    ,-0.51509893    ,-0.43326220    ,-0.42086565    ,-0.20395075    ,-0.30414334    ,-0.24551424    ,-0.26368240    ,-0.17769590    ,
 Oil         , 0.13221380    , 0.11172817    , 4.26937453E-02, 0.21933006    , 0.10902536    , 5.38390614E-02, 0.22574496    , 0.15744080    , 8.36474299E-02,
 Gas         , -3.1327491    , 0.40883055    , 0.14689247    ,  1.1799704    , 0.24207212    , 0.11596367    , 0.64322156    , 0.98583674    , 0.46618727    ,
 Oil_pcts    ,-1.50118349E-02, 3.26264016E-02, 6.14972338E-02, 1.22774746E-02, 0.22229132    , 3.50718684E-02, 3.15044038E-02, 2.49456521E-02, 2.63643451E-02,
 Electricity , -1.7572209    , 4.34764884E-02,-4.23845612E-02, 6.86564595E-02, 0.25416744    ,-1.59557294E-02, 9.36268419E-02, 0.11642084    , 3.68377306E-02,
 En_Int_ind  , 8.69107470E-02,-2.81583820E-03,-8.50653052E-02,-9.28315800E-03,-2.33511254E-02,-5.36341704E-02, 4.75807814E-03,-9.04129539E-03,-9.99509078E-03,
 Oth_ind_ser , 0.16174550    ,-9.89799388E-03,-8.72682706E-02,-1.53975459E-02,-5.01577184E-02,-8.38245451E-02,-1.90543327E-02,-1.58725269E-02,-1.89353395E-02,
 
 ! The matrix qxw(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qxw(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  87091.227    ,  124972.93    ,  21382.248    ,  1330.5092    ,  53201.828    ,  60671.762    ,  17428.311    ,  13490.270    ,  123812.27    ,
 Coal        ,  12636.391    ,  1858.5601    ,  16256.427    , 3.88369448E-02,  46362.926    ,  39279.836    ,  1961.2751    ,  100.33749    ,  10791.910    ,
 Oil         ,  669.97400    ,  17140.113    ,  286072.12    , 0.78248370    ,  108742.73    ,  882217.25    ,  861.11096    ,  5.9594269    ,  209932.97    ,
 Gas         ,  6380.5854    ,  15238.601    ,  95303.633    , 0.39578912    ,  48392.305    ,  110117.78    ,  734.03168    ,  4.2359285    ,  18955.734    ,
 Oil_pcts    ,  127042.12    ,  184694.45    ,  105590.41    ,  14676.966    ,  28988.477    ,  173189.33    ,  38119.246    ,  52961.184    ,  146450.41    ,
 Electricity ,  1020.6068    ,  34678.309    ,  5369.7793    , 0.61472803    ,  7115.7002    ,  1173.2362    ,  917.24237    ,  16.635111    ,  5496.7056    ,
 En_Int_ind  ,  371146.22    ,  1497246.9    ,  155668.11    ,  194258.17    ,  407752.53    ,  299060.06    ,  279713.50    ,  69342.172    ,  728399.62    ,
 Oth_ind_ser ,  1279983.9    ,  4930310.5    ,  209105.03    ,  719556.56    ,  652622.06    ,  854377.62    ,  1613380.5    ,  264589.56    ,  2250805.0    ,
 
 ! The matrix qxw(%1:%2:"PostLevel") with %1 in TRAD_COMM and %2 in REG. +++++
 qxw(TRAD_COMM:REG:"PostLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  87146.172    ,  124969.57    ,  21372.148    ,  1330.4589    ,  53189.656    ,  60653.574    ,  17428.715    ,  13491.188    ,  123802.16    ,
 Coal        ,  13019.996    ,  1848.9867    ,  16185.994    , 3.86734940E-02,  46268.367    ,  39160.367    ,  1956.4600    ,  100.07292    ,  10772.733    ,
 Oil         ,  670.85980    ,  17159.264    ,  286194.25    , 0.78419989    ,  108861.28    ,  882692.25    ,  863.05487    ,  5.9688096    ,  210108.58    ,
 Gas         ,  6180.6978    ,  15300.900    ,  95443.625    , 0.40045932    ,  48509.449    ,  110245.48    ,  738.75311    ,  4.2776880    ,  19044.104    ,
 Oil_pcts    ,  127023.05    ,  184754.72    ,  105655.34    ,  14678.768    ,  29052.916    ,  173250.06    ,  38131.254    ,  52974.395    ,  146489.02    ,
 Electricity ,  1002.6724    ,  34693.387    ,  5367.5034    , 0.61515009    ,  7133.7861    ,  1173.0490    ,  918.10114    ,  16.654478    ,  5498.7305    ,
 En_Int_ind  ,  371468.78    ,  1497204.8    ,  155535.69    ,  194240.14    ,  407657.31    ,  298899.66    ,  279726.81    ,  69335.906    ,  728326.81    ,
 Oth_ind_ser ,  1282054.2    ,  4929822.5    ,  208922.55    ,  719445.75    ,  652294.75    ,  853661.44    ,  1613073.1    ,  264547.56    ,  2250378.8    ,
 
 ! The matrix qxw(%1:%2:"Changes") with %1 in TRAD_COMM and %2 in REG. +++++++
