 
 
 ! The solution file is: GTAP_Files\SaveSims\coal31
 
 ! Variable qxw # aggregate exports of i from region r, FOB weights #
 ! Variable qxw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qxw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qxw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 0.99124622    ,-7.29922131E-02,-0.46537417    ,-0.26167643    ,-0.24140367    ,-0.32273197    ,-0.12806763    ,-8.92773196E-02,-0.13945258    ,
 Coal        ,  15.381377    , -2.4685338    , -2.2319708    , -1.9413308    ,-0.99480987    , -1.4349285    , -1.1232680    , -1.2084938    ,-0.81781483    ,
 Oil         , 0.21642759    , 0.70859885    , 0.23333280    ,  1.3463624    , 0.69534349    , 0.34540316    ,  1.4375163    ,  1.0154209    , 0.54538888    ,
 Gas         , -11.637476    ,  2.2436240    , 0.42991367    ,  5.3488603    ,  1.2790017    , 0.59891325    ,  3.2405617    ,  5.5402198    ,  2.5742521    ,
 Oil_pcts    ,-0.28057843    , 0.22267742    , 0.37443832    , 8.96529928E-02,  1.4428725    , 0.25553840    , 0.22654492    , 0.19138609    , 0.19255348    ,
 Electricity , -35.080555    , 0.64010125    , 0.13572723    ,  1.6172209    ,  6.8604455    ,  1.3742126    ,  1.6380683    ,  2.5396874    , 0.87749499    ,
 En_Int_ind  ,  1.0790650    ,-9.35447663E-02,-0.70510596    ,-0.27314356    ,-0.20039673    ,-0.38685063    ,-5.21527715E-02,-0.12134071    ,-0.10469675    ,
 Oth_ind_ser ,  2.6839025    ,-0.20850900    ,-0.79206651    ,-0.52718371    ,-0.62308925    ,-0.83197218    ,-0.39765340    ,-0.33930314    ,-0.27408355    ,
 
 ! The matrix qxw(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qxw(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  87091.227    ,  124972.93    ,  21382.248    ,  1330.5092    ,  53201.828    ,  60671.762    ,  17428.311    ,  13490.270    ,  123812.27    ,
 Coal        ,  12636.391    ,  1858.5601    ,  16256.427    , 3.88369448E-02,  46362.926    ,  39279.836    ,  1961.2751    ,  100.33749    ,  10791.910    ,
 Oil         ,  669.97400    ,  17140.113    ,  286072.12    , 0.78248370    ,  108742.73    ,  882217.25    ,  861.11096    ,  5.9594269    ,  209932.97    ,
 Gas         ,  6380.5854    ,  15238.601    ,  95303.633    , 0.39578912    ,  48392.305    ,  110117.78    ,  734.03168    ,  4.2359285    ,  18955.734    ,
 Oil_pcts    ,  127042.12    ,  184694.45    ,  105590.41    ,  14676.966    ,  28988.477    ,  173189.33    ,  38119.246    ,  52961.184    ,  146450.41    ,
 Electricity ,  1020.6068    ,  34678.309    ,  5369.7793    , 0.61472803    ,  7115.7002    ,  1173.2362    ,  917.24237    ,  16.635111    ,  5496.7056    ,
 En_Int_ind  ,  371146.22    ,  1497246.9    ,  155668.11    ,  194258.17    ,  407752.53    ,  299060.06    ,  279713.50    ,  69342.172    ,  728399.62    ,
 Oth_ind_ser ,  1279983.9    ,  4930310.5    ,  209105.03    ,  719556.56    ,  652622.06    ,  854377.62    ,  1613380.5    ,  264589.56    ,  2250805.0    ,
 
 ! The matrix qxw(%1:%2:"PostLevel") with %1 in TRAD_COMM and %2 in REG. +++++
 qxw(TRAD_COMM:REG:"PostLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  87954.516    ,  124881.71    ,  21282.740    ,  1327.0275    ,  53073.398    ,  60475.953    ,  17405.990    ,  13478.226    ,  123639.62    ,
 Coal        ,  14580.042    ,  1812.6809    ,  15893.588    , 3.80829908E-02,  45901.703    ,  38716.199    ,  1939.2448    ,  99.124924    ,  10703.652    ,
 Oil         ,  671.42401    ,  17261.568    ,  286739.62    , 0.79301876    ,  109498.86    ,  885264.44    ,  873.48956    ,  6.0199404    ,  211077.92    ,
 Gas         ,  5638.0464    ,  15580.497    ,  95713.359    , 0.41695932    ,  49011.242    ,  110777.29    ,  757.81842    ,  4.4706082    ,  19443.703    ,
 Oil_pcts    ,  126685.67    ,  185105.72    ,  105985.77    ,  14690.124    ,  29406.744    ,  173631.89    ,  38205.602    ,  53062.543    ,  146732.41    ,
 Electricity ,  662.57227    ,  34900.285    ,  5377.0674    , 0.62466955    ,  7603.8691    ,  1189.3590    ,  932.26746    ,  17.057590    ,  5544.9390    ,
 En_Int_ind  ,  375151.12    ,  1495846.2    ,  154570.48    ,  193727.56    ,  406935.41    ,  297903.16    ,  279567.62    ,  69258.031    ,  727637.00    ,
 Oth_ind_ser ,  1314337.4    ,  4920030.5    ,  207448.78    ,  715763.19    ,  648555.62    ,  847269.44    ,  1606964.9    ,  263691.81    ,  2244636.0    ,
 
 ! The matrix qxw(%1:%2:"Changes") with %1 in TRAD_COMM and %2 in REG. +++++++
 qxw(TRAD_COMM:REG:"Changes"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  863.28906    , -91.218750    , -99.507812    , -3.4816895    , -128.42969    , -195.80859    , -22.320312    , -12.043945    , -172.65625    ,
 Coal        ,  1943.6514    , -45.879150    , -362.83887    ,-7.53954053E-04, -461.22266    , -563.63672    , -22.030396    , -1.2125702    , -88.257812    ,
 Oil         ,  1.4500122    ,  121.45508    ,  667.50000    , 1.05350614E-02,  756.13281    ,  3047.1875    ,  12.378601    , 6.05134964E-02,  1144.9531    ,
 Gas         , -742.53906    ,  341.89648    ,  409.72656    , 2.11701989E-02,  618.93750    ,  659.50781    ,  23.786743    , 0.23467970    ,  487.96875    ,
 Oil_pcts    , -356.45312    ,  411.26562    ,  395.36719    ,  13.158203    ,  418.26758    ,  442.56250    ,  86.355469    ,  101.35938    ,  282.00000    ,
