 
 
 ! The solution file is: GTAP_Files\SaveSims\coal41
 
 ! Variable qxw # aggregate exports of i from region r, FOB weights #
 ! Variable qxw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qxw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qxw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  3.4501641    ,-0.26860893    , -1.4331480    , -1.0386221    ,-0.76818407    , -1.0174792    ,-0.54792559    ,-0.43170238    ,-0.48450583    ,
 Coal        ,  31.157734    , -4.6933570    , -4.6023278    , -3.6314499    , -1.9771323    , -2.7549486    , -2.0121024    , -2.1638780    , -1.4779533    ,
 Oil         ,-0.59542406    ,  1.7618324    , 0.51191145    ,  3.3009493    ,  1.6989381    , 0.85709906    ,  3.6147439    ,  2.5706446    ,  1.3767157    ,
 Gas         , -18.205894    ,  5.1751156    , 0.30194154    ,  10.127616    ,  2.7416079    ,  1.3240247    ,  6.9925461    ,  13.167573    ,  5.9647951    ,
 Oil_pcts    , -1.1156528    , 0.59136939    , 0.91048020    , 0.25909045    ,  3.6441722    , 0.70139676    , 0.62610275    , 0.54689163    , 0.53554225    ,
 Electricity , -79.537025    ,  1.8762690    , 0.84518349    ,  6.3303313    ,  30.469826    ,  6.3458376    ,  5.9913287    ,  10.326794    ,  3.0577407    ,
 En_Int_ind  ,  3.5933526    ,-0.35178804    , -2.0350618    , -1.0376108    ,-0.60508466    , -1.0475307    ,-0.26689070    ,-0.40643886    ,-0.32672328    ,
 Oth_ind_ser ,  9.6742067    ,-0.75947106    , -2.3724940    , -2.0214274    , -2.0827343    , -2.5623903    , -1.4480075    , -1.2379032    ,-0.93753111    ,
 
 ! The matrix qxw(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qxw(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  87091.227    ,  124972.93    ,  21382.248    ,  1330.5092    ,  53201.828    ,  60671.762    ,  17428.311    ,  13490.270    ,  123812.27    ,
 Coal        ,  12636.391    ,  1858.5601    ,  16256.427    , 3.88369448E-02,  46362.926    ,  39279.836    ,  1961.2751    ,  100.33749    ,  10791.910    ,
 Oil         ,  669.97400    ,  17140.113    ,  286072.12    , 0.78248370    ,  108742.73    ,  882217.25    ,  861.11096    ,  5.9594269    ,  209932.97    ,
 Gas         ,  6380.5854    ,  15238.601    ,  95303.633    , 0.39578912    ,  48392.305    ,  110117.78    ,  734.03168    ,  4.2359285    ,  18955.734    ,
 Oil_pcts    ,  127042.12    ,  184694.45    ,  105590.41    ,  14676.966    ,  28988.477    ,  173189.33    ,  38119.246    ,  52961.184    ,  146450.41    ,
 Electricity ,  1020.6068    ,  34678.309    ,  5369.7793    , 0.61472803    ,  7115.7002    ,  1173.2362    ,  917.24237    ,  16.635111    ,  5496.7056    ,
 En_Int_ind  ,  371146.22    ,  1497246.9    ,  155668.11    ,  194258.17    ,  407752.53    ,  299060.06    ,  279713.50    ,  69342.172    ,  728399.62    ,
 Oth_ind_ser ,  1279983.9    ,  4930310.5    ,  209105.03    ,  719556.56    ,  652622.06    ,  854377.62    ,  1613380.5    ,  264589.56    ,  2250805.0    ,
 
 ! The matrix qxw(%1:%2:"PostLevel") with %1 in TRAD_COMM and %2 in REG. +++++
 qxw(TRAD_COMM:REG:"PostLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  90096.016    ,  124637.24    ,  21075.809    ,  1316.6902    ,  52793.141    ,  60054.438    ,  17332.816    ,  13432.031    ,  123212.40    ,
 Coal        ,  16573.604    ,  1771.3312    ,  15508.253    , 3.74266021E-02,  45446.270    ,  38197.695    ,  1921.8123    ,  98.166313    ,  10632.411    ,
 Oil         ,  665.98480    ,  17442.094    ,  287536.56    , 0.80831307    ,  110590.20    ,  889778.75    ,  892.23792    ,  6.1126227    ,  212823.16    ,
 Gas         ,  5218.9429    ,  16027.216    ,  95591.391    , 0.43587312    ,  49719.031    ,  111575.77    ,  785.35919    ,  4.7936974    ,  20086.404    ,
 Oil_pcts    ,  125624.77    ,  185786.67    ,  106551.79    ,  14714.992    ,  30044.867    ,  174404.08    ,  38357.910    ,  53250.824    ,  147234.70    ,
 Electricity ,  208.84650    ,  35328.969    ,  5415.1636    , 0.65364236    ,  9283.8418    ,  1247.6879    ,  972.19739    ,  18.352985    ,  5664.7808    ,
 En_Int_ind  ,  384482.81    ,  1491979.8    ,  152500.17    ,  192242.53    ,  405285.28    ,  295927.31    ,  278966.97    ,  69060.336    ,  726019.75    ,
 Oth_ind_ser ,  1403812.1    ,  4892866.0    ,  204144.03    ,  705011.25    ,  639029.69    ,  832485.12    ,  1590018.6    ,  261314.20    ,  2229703.0    ,
 
 ! The matrix qxw(%1:%2:"Changes") with %1 in TRAD_COMM and %2 in REG. +++++++
 qxw(TRAD_COMM:REG:"Changes"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  3004.7891    , -335.68750    , -306.43945    , -13.818970    , -408.68750    , -617.32422    , -95.494141    , -58.238281    , -599.87500    ,
 Coal        ,  3937.2129    , -87.228882    , -748.17383    ,-1.41034275E-03, -916.65625    , -1082.1406    , -39.462891    , -2.1711807    , -159.49902    ,
 Oil         , -3.9891968    ,  301.98047    ,  1464.4375    , 2.58293748E-02,  1847.4688    ,  7561.5000    ,  31.126953    , 0.15319586    ,  2890.1875    ,
 Gas         , -1161.6426    ,  788.61523    ,  287.75781    , 4.00840044E-02,  1326.7266    ,  1457.9844    ,  51.327515    , 0.55776882    ,  1130.6699    ,
 Oil_pcts    , -1417.3516    ,  1092.2188    ,  961.38281    ,  38.026367    ,  1056.3906    ,  1214.7500    ,  238.66406    ,  289.64062    ,  784.29688    ,
 Electricity , -811.76025    ,  650.66016    ,  45.384277    , 3.89143229E-02,  2168.1416    ,  74.451660    ,  54.955017    ,  1.7178745    ,  168.07520    ,
 En_Int_ind  ,  13336.594    , -5267.1250    , -3167.9375    , -2015.6406    , -2467.2500    , -3132.7500    , -746.53125    , -281.83594    , -2379.8750    ,
 Oth_ind_ser ,  123828.25    , -37444.500    , -4961.0000    , -14545.312    , -13592.375    , -21892.500    , -23361.875    , -3275.3594    , -21102.000    ,
 
 
 ! Variable qiw # aggregate imports of i into region s, CIF weights #
 ! Variable qiw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qiw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qiw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
