 
 
 ! The solution file is: GTAP_Files\SaveSims\coal01
 
 ! Variable psave # price of savings in region r #
 ! Variable psave(REG:Lin+Lev) of size 9x4
 
 psave(REG:Lin+Lev),Linear         ,PreLevel       ,PostLevel      ,Changes        ,
 Agr         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Coal        , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oil         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Gas         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oil_pcts    , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Electricity , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 En_Int_ind  , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oth_ind_ser , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 
 ! The matrix pgd(%1:%2:"Changes") with %1 in TRAD_COMM and %2 in REG. +++++++
 pgd(TRAD_COMM:REG:"Changes"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Coal        , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oil         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Gas         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oil_pcts    , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Electricity , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 En_Int_ind  , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oth_ind_ser , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 
 
 ! Variable qgd # government hhld demand for domestic i in region s #
 ! Variable qgd(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qgd(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qgd(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,-1.52060631E-04,-1.28403728E-04, 6.01037755E-04,-2.34760533E-04, 8.71487500E-05, 5.00495080E-04, 1.24675018E-04,-1.00297721E-05,-9.28241643E-05,
 Coal        , 7.99406692E-02, 3.59538302E-04, 1.17924495E-03,-6.93505863E-05,-1.20141881E-03, 2.24427320E-03,-1.62777328E-03,-6.06543559E-04,-4.42093285E-03,
 Oil         ,-4.70079598E-04,-1.21637573E-03,-4.17143892E-04,-5.78737527E-04,-1.79226475E-03,-6.16747595E-04,-4.94037638E-04,-8.25220312E-04,-1.43772841E-03,
 Gas         ,-3.19592021E-02, 6.76389970E-03, 4.11937472E-05, 2.07486749E-02, 2.14913720E-03, 9.63662693E-04, 1.30925663E-02, 8.28744937E-03,-2.71102996E-04,
 Oil_pcts    ,-2.14097346E-03,-1.23286829E-03,-1.00558158E-04,-1.44075532E-03,-1.22687872E-03,-2.26737713E-04,-7.16235139E-04,-1.37585646E-03,-1.15339260E-03,
 Electricity , 5.25556505E-03, 3.91996960E-04, 6.18754246E-04, 1.43032657E-05, 3.47244844E-04, 6.07754744E-04, 3.73399060E-04, 3.10069037E-04, 2.91386503E-04,
 En_Int_ind  , 5.94151323E-04,-1.47605868E-04,-4.49649175E-04,-4.44369274E-04,-3.84542189E-04,-1.75590249E-04,-1.68124352E-05,-3.74109921E-04,-2.61644163E-04,
 Oth_ind_ser ,-2.24913791E-04,-5.42019116E-05, 4.93430125E-04,-1.12050293E-04, 1.67434890E-04, 4.61648015E-04,-6.28981870E-05,-1.26566461E-04, 1.17117213E-06,
 
 ! The matrix qgd(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qgd(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 0.57892138    ,  78.864098    ,  2027.2229    , 0.24812010    ,  304.40607    ,  208.51772    , 0.12068105    ,  1053.5682    ,  2055.8042    ,
 Coal        , 4.56569978E-06, 8.01725138E-04, 2.41334904E-02, 3.57119319E-07, 2.23518964E-02, 6.13595985E-05, 1.53295659E-07, 1.50653012E-02, 2.31740996E-02,
