 
 
 ! The solution file is: GTAP_Files\SaveSims\coal40
 
 ! Variable qxw # aggregate exports of i from region r, FOB weights #
 ! Variable qxw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qxw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qxw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  2.9709370    ,-0.23054200    , -1.2502222    ,-0.88416076    ,-0.66675740    ,-0.88586169    ,-0.46376541    ,-0.36225623    ,-0.41799334    ,
 Coal        ,  28.750076    , -4.3746104    , -4.2338595    , -3.3861217    , -1.8259060    , -2.5594940    , -1.8954870    , -2.0389545    , -1.3902360    ,
 Oil         ,-0.42051098    ,  1.5781480    , 0.46738291    ,  2.9601936    ,  1.5291190    , 0.76863384    ,  3.2305582    ,  2.2955766    ,  1.2310345    ,
 Gas         , -17.327362    ,  4.6656690    , 0.35421333    ,  9.4138985    ,  2.5073097    ,  1.1980867    ,  6.3567700    ,  11.814246    ,  5.3735332    ,
 Oil_pcts    ,-0.94234747    , 0.52386159    , 0.81687796    , 0.22609876    ,  3.2547460    , 0.61897010    , 0.55180138    , 0.47975877    , 0.47126949    ,
 Electricity , -74.375374    ,  1.6580875    , 0.69382435    ,  5.3269973    ,  25.174971    ,  5.2527323    ,  5.0889306    ,  8.6353474    ,  2.6268549    ,
 En_Int_ind  ,  3.1060231    ,-0.30131009    , -1.7881042    ,-0.88619870    ,-0.52656913    ,-0.92732298    ,-0.22259896    ,-0.35158896    ,-0.28489506    ,
 Oth_ind_ser ,  8.2825041    ,-0.65133131    , -2.0757234    , -1.7256118    , -1.7983316    , -2.2362111    , -1.2419181    , -1.0616239    ,-0.80893552    ,
 
 ! The matrix qxw(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qxw(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  87091.227    ,  124972.93    ,  21382.248    ,  1330.5092    ,  53201.828    ,  60671.762    ,  17428.311    ,  13490.270    ,  123812.27    ,
 Coal        ,  12636.391    ,  1858.5601    ,  16256.427    , 3.88369448E-02,  46362.926    ,  39279.836    ,  1961.2751    ,  100.33749    ,  10791.910    ,
 Oil         ,  669.97400    ,  17140.113    ,  286072.12    , 0.78248370    ,  108742.73    ,  882217.25    ,  861.11096    ,  5.9594269    ,  209932.97    ,
 Gas         ,  6380.5854    ,  15238.601    ,  95303.633    , 0.39578912    ,  48392.305    ,  110117.78    ,  734.03168    ,  4.2359285    ,  18955.734    ,
 Oil_pcts    ,  127042.12    ,  184694.45    ,  105590.41    ,  14676.966    ,  28988.477    ,  173189.33    ,  38119.246    ,  52961.184    ,  146450.41    ,
 Electricity ,  1020.6068    ,  34678.309    ,  5369.7793    , 0.61472803    ,  7115.7002    ,  1173.2362    ,  917.24237    ,  16.635111    ,  5496.7056    ,
 En_Int_ind  ,  371146.22    ,  1497246.9    ,  155668.11    ,  194258.17    ,  407752.53    ,  299060.06    ,  279713.50    ,  69342.172    ,  728399.62    ,
 Oth_ind_ser ,  1279983.9    ,  4930310.5    ,  209105.03    ,  719556.56    ,  652622.06    ,  854377.62    ,  1613380.5    ,  264589.56    ,  2250805.0    ,
 
 ! The matrix qxw(%1:%2:"PostLevel") with %1 in TRAD_COMM and %2 in REG. +++++
 qxw(TRAD_COMM:REG:"PostLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  89678.648    ,  124684.81    ,  21114.922    ,  1318.7454    ,  52847.102    ,  60134.293    ,  17347.484    ,  13441.400    ,  123294.75    ,
 Coal        ,  16269.362    ,  1777.2552    ,  15568.152    , 3.75218801E-02,  45516.383    ,  38274.473    ,  1924.0995    ,  98.291656    ,  10641.877    ,
 Oil         ,  667.15668    ,  17410.609    ,  287409.19    , 0.80564672    ,  110405.53    ,  888998.25    ,  888.92963    ,  6.0962300    ,  212517.31    ,
 Gas         ,  5274.9985    ,  15949.583    ,  95641.211    , 0.43304831    ,  49605.648    ,  111437.09    ,  780.69238    ,  4.7363715    ,  19974.326    ,
 Oil_pcts    ,  125844.95    ,  185662.00    ,  106452.95    ,  14710.150    ,  29931.979    ,  174261.31    ,  38329.590    ,  53215.270    ,  147140.58    ,
 Electricity ,  261.52667    ,  35253.305    ,  5407.0361    , 0.64747459    ,  8907.0752    ,  1234.8632    ,  963.92023    ,  18.071611    ,  5641.0962    ,
 En_Int_ind  ,  382674.09    ,  1492735.5    ,  152884.59    ,  192536.66    ,  405605.44    ,  296286.81    ,  279090.88    ,  69098.375    ,  726324.44    ,
 Oth_ind_ser ,  1385998.6    ,  4898198.0    ,  204764.59    ,  707139.81    ,  640885.75    ,  835271.94    ,  1593343.6    ,  261780.61    ,  2232597.5    ,
 
 ! The matrix qxw(%1:%2:"Changes") with %1 in TRAD_COMM and %2 in REG. +++++++
 qxw(TRAD_COMM:REG:"Changes"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  2587.4219    , -288.11719    , -267.32617    , -11.763794    , -354.72656    , -537.46875    , -80.826172    , -48.869141    , -517.52344    ,
 Coal        ,  3632.9717    , -81.304810    , -688.27441    ,-1.31506473E-03, -846.54297    , -1005.3633    , -37.175659    , -2.0458374    , -150.03320    ,
 Oil         , -2.8173218    ,  270.49609    ,  1337.0625    , 2.31630206E-02,  1662.8047    ,  6781.0000    ,  27.818665    , 0.13680315    ,  2584.3438    ,
 Gas         , -1105.5869    ,  710.98242    ,  337.57812    , 3.72591913E-02,  1213.3438    ,  1319.3047    ,  46.660706    , 0.50044298    ,  1018.5918    ,
 Oil_pcts    , -1197.1797    ,  967.54688    ,  862.54688    ,  33.184570    ,  943.50195    ,  1071.9844    ,  210.34375    ,  254.08594    ,  690.17188    ,
 Electricity , -759.08008    ,  574.99609    ,  37.256836    , 3.27465534E-02,  1791.3750    ,  61.626953    ,  46.677856    ,  1.4365005    ,  144.39062    ,
 En_Int_ind  ,  11527.875    , -4511.3750    , -2783.5156    , -1721.5156    , -2147.0938    , -2773.2500    , -622.62500    , -243.79688    , -2075.1875    ,
 Oth_ind_ser ,  106014.75    , -32112.500    , -4340.4375    , -12416.750    , -11736.312    , -19105.688    , -20036.875    , -2808.9531    , -18207.500    ,
 
 
 ! Variable qiw # aggregate imports of i into region s, CIF weights #
