 
 
 ! The solution file is: GTAP_Files\SaveSims\coal20
 
 ! Variable qxw # aggregate exports of i from region r, FOB weights #
 ! Variable qxw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qxw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qxw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 0.28284764    ,-1.80981066E-02,-0.15825449    ,-5.61514981E-02,-7.96927139E-02,-0.10581376    ,-2.15335544E-02,-7.58274971E-03,-3.88999134E-02,
 Coal        ,  7.3964629    , -1.2285622    , -1.0629269    ,-0.98718470    ,-0.48885322    ,-0.71905637    ,-0.57534415    ,-0.61844015    ,-0.41718298    ,
 Oil         , 0.24557590    , 0.29851946    , 0.10689728    , 0.57682329    , 0.29246318    , 0.14473474    , 0.60366172    , 0.42358807    , 0.22640914    ,
 Gas         , -6.7399797    ,  1.0229464    , 0.29534355    ,  2.7363265    , 0.59830689    , 0.28316402    ,  1.5531905    ,  2.4882476    ,  1.1698377    ,
 Oil_pcts    ,-7.32124150E-02, 9.01207775E-02, 0.16142322    , 3.48480903E-02, 0.60107386    , 0.10003234    , 8.89744610E-02, 7.28423297E-02, 7.51918256E-02,
 Electricity , -10.354164    , 0.19378671    ,-3.00460160E-02, 0.41216126    ,  1.6386296    , 0.24133684    , 0.45394096    , 0.65068620    , 0.22946236    ,
 En_Int_ind  , 0.33355311    ,-2.22333036E-02,-0.25917783    ,-6.61169887E-02,-7.23176897E-02,-0.15216206    ,-3.16182151E-03,-3.65273021E-02,-3.46960574E-02,
 Oth_ind_ser , 0.74863666    ,-5.46077266E-02,-0.27918160    ,-0.12409030    ,-0.19260643    ,-0.28201818    ,-0.10434540    ,-8.85105059E-02,-8.03248063E-02,
 
 ! The matrix qxw(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qxw(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  87091.227    ,  124972.93    ,  21382.248    ,  1330.5092    ,  53201.828    ,  60671.762    ,  17428.311    ,  13490.270    ,  123812.27    ,
 Coal        ,  12636.391    ,  1858.5601    ,  16256.427    , 3.88369448E-02,  46362.926    ,  39279.836    ,  1961.2751    ,  100.33749    ,  10791.910    ,
