 
 
 ! The solution file is: GTAP_Files\SaveSims\coal21
 
 ! Variable qxw # aggregate exports of i from region r, FOB weights #
 ! Variable qxw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qxw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qxw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 0.31959122    ,-2.08406895E-02,-0.17528564    ,-6.60249367E-02,-8.85384008E-02,-0.11766952    ,-2.64274441E-02,-1.10702952E-02,-4.40950356E-02,
 Coal        ,  7.9440985    , -1.3162063    , -1.1424915    , -1.0556837    ,-0.52410483    ,-0.76973021    ,-0.61510324    ,-0.66123533    ,-0.44612935    ,
 Oil         , 0.25323451    , 0.32395166    , 0.11520725    , 0.62499511    , 0.31748572    , 0.15715571    , 0.65519685    , 0.46002737    , 0.24601974    ,
 Gas         , -7.1362062    ,  1.1025150    , 0.30973023    ,  2.9235458    , 0.64380234    , 0.30432945    ,  1.6673626    ,  2.6846395    ,  1.2611973    ,
 Oil_pcts    ,-8.33463445E-02, 9.81284305E-02, 0.17483842    , 3.80591974E-02, 0.65298849    , 0.10925630    , 9.71159264E-02, 7.97483698E-02, 8.21310654E-02,
 Electricity , -11.791080    , 0.21839216    ,-2.37576608E-02, 0.47249621    ,  1.8877538    , 0.29331371    , 0.51498526    , 0.74417168    , 0.26303461    ,
 En_Int_ind  , 0.37324819    ,-2.57516876E-02,-0.28479987    ,-7.63323829E-02,-7.95887336E-02,-0.16612029    ,-5.19222207E-03,-4.10102308E-02,-3.85376252E-02,
 Oth_ind_ser , 0.84773731    ,-6.23794124E-02,-0.30806941    ,-0.14385401    ,-0.21552683    ,-0.31247592    ,-0.11915827    ,-0.10115881    ,-9.04631615E-02,
 
 ! The matrix qxw(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qxw(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  87091.227    ,  124972.93    ,  21382.248    ,  1330.5092    ,  53201.828    ,  60671.762    ,  17428.311    ,  13490.270    ,  123812.27    ,
 Coal        ,  12636.391    ,  1858.5601    ,  16256.427    , 3.88369448E-02,  46362.926    ,  39279.836    ,  1961.2751    ,  100.33749    ,  10791.910    ,
 Oil         ,  669.97400    ,  17140.113    ,  286072.12    , 0.78248370    ,  108742.73    ,  882217.25    ,  861.11096    ,  5.9594269    ,  209932.97    ,
 Gas         ,  6380.5854    ,  15238.601    ,  95303.633    , 0.39578912    ,  48392.305    ,  110117.78    ,  734.03168    ,  4.2359285    ,  18955.734    ,
 Oil_pcts    ,  127042.12    ,  184694.45    ,  105590.41    ,  14676.966    ,  28988.477    ,  173189.33    ,  38119.246    ,  52961.184    ,  146450.41    ,
 Electricity ,  1020.6068    ,  34678.309    ,  5369.7793    , 0.61472803    ,  7115.7002    ,  1173.2362    ,  917.24237    ,  16.635111    ,  5496.7056    ,
